"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"09-41","VIANDAS","0","3.00","0","0","0","3.00"
"20-23","LIBROS P/COLOREAR","2.00","0","0","1.00","0","3.00"
"16-45","CALCULADORAS","1.00","1.00","1.00","0","0","3.00"
"16-17","GEOMETRIA","0","1.00","1.00","1.00","0","3.00"
"09-47","SARTEN","0","3.00","0","0","0","3.00"
"09-63","CONTENEDOR","1.00","0","0","1.00","1.00","3.00"
"09-65","PAVA/JARRAS ELECTRICAS","0","3.00","0","0","0","3.00"
"05-32","ARTICULOS DE COSTURA","3.00","0","0","0","0","3.00"
"09-53","MANTELES","0","1.00","2.00","0","0","3.00"
"09-20","COMPOTERAS","0","3.00","0","0","0","3.00"
"09-27","QUESERA","0","3.00","0","0","0","3.00"
"20-27","DISFRACES","0","0","0","3.00","0","3.00"
"25-64","PAPAS CONGELADAS","0","1.00","1.00","0","1.00","3.00"
"16-32","CARTULINA","0","0","0","0","3.00","3.00"
"27-01","ELECTRICIDAD","0","1.00","0","1.00","1.00","3.00"
"05-20","ESPEJOS","2.00","0","0","1.00","0","3.00"
"15-25","GINN","0","2.00","0","0","1.00","3.00"
"09-18","AZUCARERAS","0","2.00","0","0","0","2.00"
"16-24","COMPAS","0","0","2.00","0","0","2.00"
"09-63","DISPENSER","0","2.00","0","0","0","2.00"
"02-11","GRANADINA","1.00","0","1.00","0","0","2.00"
"07-16","BRONCEADORES","2.00","0","0","0","0","2.00"
"20-19","DEPORTES","0","0","1.00","0","1.00","2.00"
"09-50","BOTIQUIN","1.00","1.00","0","0","0","2.00"
"09-29","TARTERAS","0","2.00","0","0","0","2.00"
"09-55","RODILLO","0","1.00","1.00","0","0","2.00"
"16-41","BANDERIN ARGENTINA","0","0","0","0","1.00","1.00"
"15-06","RON","1.00","0","0","0","0","1.00"
"16-18","RESALTADORES","0","0","1.00","0","0","1.00"
"04-48","BALDES","1.00","0","0","0","0","1.00"
"51-10","SOPLADORA","1.00","0","0","0","0","1.00"
"05-18","CAJAS MDF","0","0","1.00","0","0","1.00"
"26-01","TODOS","0","0","0","0","1.00","1.00"
"19-02","LANZA PAPELITOS","0","1.00","0","0","0","1.00"
"09-21","COPA DE VINO","0","1.00","0","0","0","1.00"
"09-57","CUCHARA","0","0","0","0","1.00","1.00"
"09-06","85,00 3  ***","0","0","0","0.01","0","0.01"
"09-08","166,00 3  ***","0","0","0","0.01","0","0.01"
"09-06","120,00 3  ***","0.01","0","0","0","0","0.01"
"09-08","142,00 3  ***","0","0","0","0","0.01","0.01"
